venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Busch Stadium,St. Louis Cardinals,Curveball,CU,2,upper middle inside the strike zone,L,22,16,1,5,2,0,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,8,lower middle inside the strike zone,R,22,16,1,5,2,0,0,1,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,3,upper right inside the strike zone,L,21,16,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,14,low and right outside the strike zone,L,20,4,13,3,2,0,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,13,low and left outside the strike zone,R,19,5,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,14,low and right outside the strike zone,L,19,3,9,6,1,0,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Curveball,CU,3,upper right inside the strike zone,R,18,14,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,7,lower left inside the strike zone,R,17,13,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Slider,SL,3,upper right inside the strike zone,L,17,13,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,12,up and right outside the strike zone,L,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,7,lower left inside the strike zone,L,15,11,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,4,middle left inside the strike zone,L,15,11,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Cutter,FC,1,upper left inside the strike zone,L,15,9,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,9,lower right inside the strike zone,R,15,10,0,5,2,1,0,0,0,0,2,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,5,middle middle inside the strike zone,R,15,7,0,8,1,0,0,0,0,0,7,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Splitter,FS,4,middle left inside the strike zone,R,14,10,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,2,upper middle inside the strike zone,L,14,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Changeup,CH,2,upper middle inside the strike zone,R,14,9,1,4,0,1,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,8,lower middle inside the strike zone,L,14,10,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,9,lower right inside the strike zone,R,14,8,1,5,1,1,0,0,0,0,3,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,5,middle middle inside the strike zone,L,13,8,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0
Busch Stadium,St. Louis Cardinals,Sweeper,ST,11,up and left outside the strike zone,L,12,4,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Busch Stadium,St. Louis Cardinals,Knuckle curve,KC,12,up and right outside the strike zone,L,12,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0
