venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Truist Park,Atlanta Braves,Sinker,SI,8,lower middle inside the strike zone,L,79,53,1,25,4,1,0,2,0,0,13,1,0,0,3,0,1
Truist Park,Atlanta Braves,Changeup,CH,4,middle left inside the strike zone,R,78,46,1,31,7,3,0,4,0,0,13,2,0,1,1,0,0
Truist Park,Atlanta Braves,Cutter,FC,8,lower middle inside the strike zone,R,75,45,1,29,4,2,0,3,0,0,20,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,12,up and right outside the strike zone,R,75,17,52,6,3,0,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,5,middle middle inside the strike zone,L,74,61,0,13,1,3,0,0,0,0,8,1,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,3,upper right inside the strike zone,R,73,59,8,6,3,0,0,1,0,0,1,1,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,13,low and left outside the strike zone,R,73,16,53,4,1,0,0,1,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,9,lower right inside the strike zone,R,70,51,2,17,7,0,0,0,0,0,10,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,4,middle left inside the strike zone,L,67,48,1,18,3,0,0,0,0,0,12,0,0,0,2,0,1
Truist Park,Atlanta Braves,Slider,SL,2,upper middle inside the strike zone,R,66,48,2,16,4,0,0,3,0,0,9,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,8,lower middle inside the strike zone,L,63,36,1,26,6,2,0,0,0,0,13,3,1,0,1,0,0
Truist Park,Atlanta Braves,Sinker,SI,7,lower left inside the strike zone,L,62,44,3,15,4,3,0,0,1,0,5,0,0,0,2,0,0
Truist Park,Atlanta Braves,Sweeper,ST,14,low and right outside the strike zone,L,62,7,50,4,2,0,0,0,0,0,1,0,1,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,12,up and right outside the strike zone,L,61,10,47,4,0,0,1,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,12,up and right outside the strike zone,L,60,8,51,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,1,upper left inside the strike zone,R,58,44,5,9,0,1,0,1,0,0,7,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,6,middle right inside the strike zone,L,58,49,0,9,1,0,0,0,1,0,7,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,3,upper right inside the strike zone,R,57,40,5,12,3,1,0,0,0,0,8,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,6,middle right inside the strike zone,R,56,32,3,21,1,3,0,1,1,0,14,1,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,1,upper left inside the strike zone,R,56,32,19,5,2,0,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,6,middle right inside the strike zone,L,54,22,0,32,10,0,0,4,0,0,16,2,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,9,lower right inside the strike zone,R,53,44,3,6,1,0,0,1,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,9,lower right inside the strike zone,L,53,40,2,11,3,0,0,0,1,0,6,0,0,0,1,0,0
Truist Park,Atlanta Braves,Sinker,SI,11,up and left outside the strike zone,L,52,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,2,upper middle inside the strike zone,L,49,34,5,10,3,1,0,0,0,0,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,11,up and left outside the strike zone,R,49,5,41,3,1,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,7,lower left inside the strike zone,R,48,35,0,13,6,1,0,0,0,0,5,1,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,9,lower right inside the strike zone,L,48,37,2,9,4,2,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,5,middle middle inside the strike zone,R,48,21,0,27,5,0,0,3,0,0,19,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,1,upper left inside the strike zone,R,48,35,4,9,2,0,0,0,1,0,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,8,lower middle inside the strike zone,R,48,25,1,22,4,4,1,1,2,0,9,0,0,0,0,0,1
Truist Park,Atlanta Braves,Sweeper,ST,6,middle right inside the strike zone,R,46,32,0,14,2,1,0,2,0,0,8,1,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,8,lower middle inside the strike zone,R,46,29,1,16,3,0,0,1,0,0,12,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,13,low and left outside the strike zone,R,45,6,33,6,1,0,0,0,0,0,5,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,3,upper right inside the strike zone,L,43,27,7,9,4,1,0,2,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,5,middle middle inside the strike zone,L,42,27,0,15,3,0,0,2,1,0,6,2,0,0,1,0,0
Truist Park,Atlanta Braves,Sweeper,ST,8,lower middle inside the strike zone,L,40,28,0,12,5,1,0,0,1,0,5,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,11,up and left outside the strike zone,L,39,10,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,7,lower left inside the strike zone,L,38,31,0,7,0,1,0,0,0,0,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,8,lower middle inside the strike zone,L,37,26,0,11,3,2,0,0,0,0,4,2,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,6,middle right inside the strike zone,L,36,27,0,9,2,0,0,0,0,0,6,1,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,2,upper middle inside the strike zone,R,35,28,3,4,1,1,0,1,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,5,middle middle inside the strike zone,L,34,19,0,15,3,1,0,0,0,0,11,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,7,lower left inside the strike zone,R,34,25,3,6,1,0,0,0,0,0,2,1,0,0,1,0,1
Truist Park,Atlanta Braves,Sweeper,ST,7,lower left inside the strike zone,L,34,26,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,4,middle left inside the strike zone,R,33,25,1,7,0,0,0,1,0,0,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,7,lower left inside the strike zone,L,33,26,1,6,1,1,0,0,0,0,3,0,0,0,0,1,0
Truist Park,Atlanta Braves,Changeup,CH,7,lower left inside the strike zone,L,33,26,1,6,3,0,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,2,upper middle inside the strike zone,L,31,29,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,14,low and right outside the strike zone,L,30,13,12,5,1,0,0,0,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,12,up and right outside the strike zone,L,28,5,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,4,middle left inside the strike zone,L,28,23,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,1,upper left inside the strike zone,R,28,17,2,9,1,1,0,0,0,1,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,11,up and left outside the strike zone,R,28,2,23,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,5,middle middle inside the strike zone,R,27,19,0,8,3,1,0,0,0,0,2,1,0,0,1,0,0
Truist Park,Atlanta Braves,Slider,SL,3,upper right inside the strike zone,R,27,20,3,4,0,0,0,1,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Slider,SL,3,upper right inside the strike zone,L,26,19,1,6,2,0,0,1,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sinker,SI,1,upper left inside the strike zone,L,26,18,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Truist Park,Atlanta Braves,Sweeper,ST,7,lower left inside the strike zone,R,26,16,1,9,1,1,0,1,0,0,3,2,0,0,0,0,1
Truist Park,Atlanta Braves,Curveball,CU,9,lower right inside the strike zone,L,26,17,0,9,3,0,0,0,0,0,6,0,0,0,0,0,0
Truist Park,Atlanta Braves,Splitter,FS,4,middle left inside the strike zone,R,26,19,0,7,2,1,0,0,0,0,4,0,0,0,0,0,0
Truist Park,Atlanta Braves,Cutter,FC,5,middle middle inside the strike zone,L,25,14,0,11,5,1,0,2,0,0,3,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,6,middle right inside the strike zone,R,24,16,0,8,2,0,0,1,0,0,5,0,0,0,0,0,0
